CheckListKey,CombinedLatin,CommonName,Countys,Endangered,Synonym,MinBrood,MaxBroodNumb,ResStatus,WinterStage,GenvsSpec,Broods,Brood Notes,Status,Distribution,Hostplants,Broods,Overwinter,Ecology,Notes
4050  a,Atrytone arogos iowa,Arogos Skipper,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,,,,,
4464  b,Boloria selene nebraskensis,Silver-bordered Fritillary,0,"very rare, may be on verge of extinction",Boloria s. n.,NA,,,,,,,,,,,,,
4391,Calephelis muticum,Swamp Metalmark,0,"ENDANGERED, res., rare",,NA,,,,,1,,resident,2 populations left,,,,,
4322  b,Callophrys augustinus croesiodes,Brown Elfin,0,"res., rare, localized",Incisalia augustus c.,NA,,,,,1,,resident,extreme southern OH,"numerous Ericaceae, flowers and fruit",1,pupa,medium generalist,
4324,Callophrys polios,Hoary Elfin,0,Species of possible occurrence in Ohio,Incisalia p.,NA,,,,,,,,,"Bearberry, a heath, flowers and buds",1,pupa,specialist,
4115,Calpodes ethlius,Brazilian Skipper,0,"transported or stray, rare",,NA,,,,,NA,,uncertain,one record,garden canna,all year in South,not reported medium specialist,,
4363  a,Celastrina ladon lucia,Spring Azure,0,"res., common","C. argiolus lucia, C. lucia, Northern Spring Azure",NA,,,,,,,,,dogwood buds,1,pupa,NA,lumped together until distinguishable
4363.1,Celastrina neglecta,Summer Azure,0,"res., common",C. ladon n.,NA,,,,,,,,,variety of flowers,2,pupa,Generalist,lumped together until distinguishable
4587  c,Cercyonis pegala nephele,Common Wood Nymph,0,"res., uncommon to common",,NA,,,,,,,,,,,,,
4489,Chlosyne gorgone,Gorgone Checkerspot,0,Species of possible occurrence in Ohio,Charidryas g.,NA,,,,,,,,,various composites,1,3rd instar larva,medium specialist,more common in West
4491  b,Chlosyne harrisii liggetti,Harris' Checkerspot,0,,Charidryas h. l.,NA,,,,,,,,,,,,,
4220,Colias interior,Pink-edged Sulphur,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,various heaths,1 protracted,3rd instar larva,Specialist,
4010,Copaeodes minimus,Southern Skipperling,0,"stray or transported, rare",,NA,,,,,unknown,,uncertain,1 record,Bermuda grass,several,not reported,medium generalist,
4615  b,Danaus gilippus strigosus,Queen,0,"stray, rare",D. g. thersippus,NA,,,,,,,,,milkweeds,3+ in South,adults,medium generalist,strays north with increasing frequency
4568.2,Enodia creola,Creole Pearly-Eye,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,cane,2 to 3,larva,medium specialist,
4349,Erora laeta,Early Hairstreak,0,"res., rare",,NA,,,,,2,,resident,2 locations,"american beech, beechnut masting irregular","1-2 in North, 2+ in South",pupa,medium specialist,drop to ground to pupate
3958,Erynnis lucilius,Columbine Duskywing,0,"possible res., rare",,NA,,,,,2,,possible resident,2 records,columbine,2 to 3,mature larva,specialist,confused ID with WIDW
3956,Erynnis zarucco,Zarucco Duskywing,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,woody legumes,3+ in South,larva,medium generalist,strays to North
4202,Euchloe olympia,Olympia Marble,0,"res., rare",,NA,,,,,1,,resident,2 SE counties,"Rockcresses (Brassicaceae, Arabis)",1,"Pupa, multiple years",Specialist,may not emerge for several years during drought
4077,Euphyes bimacula bimacula,Two-spotted Skipper,0,"res., rare, localized @ low densities",,NA,,,,,1,,resident,glaciated,sedges,"1 in North, 2 in South",mid-stage larva,medium specialist,
4246,Eurema mexicana,Mexican Sulphur,0,"stray, rare",E. mexicanum,NA,,,,,NA,,stray,one record,,,,,
3957,Eyrnnis funeralis,Funereal Duskywing,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,,,,,
4360  a,Hemiargus isola alce,Reakirt's Blue,0,"irregular immigrant, rare",,NA,,,,,,,,,,,,,
4357,Leptotes marina,Marine Blue,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,,,,,
3998,Lerema accius,Clouded Skipper,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,various grasses,2 to 3 in North,pupa,generalist,"cold intolerant, recolonizes North each year, possibly return migration south"
4111,Lerodea eufala,Eufala Skipper,0,"stray, rare",,NA,,,,,NA,,stray,one record,various grasses,2 in North,unknown,generalist,
4261,Lycaena dorcas dorcas,Dorcas Copper,0,"EXTIRPATED (probably), res., rare",Lycaena d. d.,NA,,,,,,,,,cinquefoils,1,eggs,medium specialist,
4260,Lycaena epixanthe epixanthe,Bog Copper,0,"EXTIRPATED (probably), res., rare",Lycaena e. e.,NA,,,,,,,,,vaccinium,1,egg (with 1st stage larva inside),specialist,
4248,Nathalis iole,Dainty Sulphur,0,"irregular immigrant or stray, rare",,NA,,,,,1,if established early in seasons,irregular immigrant,scattered statewide,aster family,all year,unknown,Generalist,
4577,Neonympha mitchellii mitchellii,Mitchell's Satyr,0,"EXTIRPATED (probably), res., rare",,NA,,,,,,,,,sedges,"1 in North, 2 (3?) in South",larva,specialist,
4431,Nymphalis californica,California Tortoiseshell,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,,,,,
4160,Papilio joanae,Ozark Swallowtail,0,Species of possible occurrence in Ohio,Missouri Woodland Swallowtail,NA,,,,,,,,,,,,,
4229,Phoebis philea philea,Orange-barred Sulphur,0,"stray, rare",,NA,,,,,NA,,stray,one record,Sennas,3+ in South,adult,Medium generalist,vagrant to north
4482,Phyciodes batesii,Tawny Crescent,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,asters,1,3rd instar larva,medium specialist,
4045,Polites vibex vibex,Whirlabout,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,various grasses,2 indistinct,unreported,generalist,stray northward
4423,Polygonia faunus,Green Comma,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,"varied, birche, willow, alder","1, may aestivate during summer",adult,medium specialist,
4422,Polygonia satyrus,Satyr Comma,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,nettles,"1, 2-3 in West",adults,specialist,
4052,Problema byssus,Byssus Skipper,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,Eastern gamma grass,2,mature larva,medium specialist,
3962  b,Pyrgus centaureae wyandot,Grizzled Skipper,0,"res., rare, localized pops. @ low densities",,NA,,,,,1,,resident,unglaciated OH,cinquefoils,"1, 2-yr cycle in Arctic",pupa,medium specialist,
4275  a,Satyrium titus mopsus,Coral Hairstreak,0,"res., uncommon to common",Harkenclenus t. m.,NA,,,,,,,,,,,,,
4451  b,Speyeria aphrodite alcestis,Alcestis Fritillary,0,"res., rare to common, northernly and southeastern",,NA,,,,,,,,,,,,,race of aphrodite
4459,Speyeria atlantis atlantis,Atlantis Fritillary,0,"irregular immigrant or res., rare",Mountain Silver-spot,NA,,,,,,,,,viola,1,1st instar larva unfed,medium generalist,most boreal of the large fritillaries
4449,Speyeria diana,Diana,0,"EXTIRPATED, res., rare",,NA,,,,,1,,resident,extirpated,viola,"1, male/female dimorphic",1st instar,medium specialist,
4452,Speyeria idalia,Regal Fritillary,0,"ENDANGERED (potentially), res., rare to uncommon",,NA,,,,,1,,resident,"extirpated, once statewide",viola,1,caterpillars overwinter unfed,medium specialist,
3913,Thorybes confusis,Confused Cloudywing,0,"possible res., rare",,NA,,,,,2,,uncertain,one record,unknown legume,2 to 3,"unknown, probably mature larva",medium specialist,tough to ID
4046,Wallengrenia otho otho,Southern Broken-Dash,0,Species of possible occurrence in Ohio,,NA,,,,,,,,,unknown grass,2,not reported,generalist,
